3,6,6,7,25
6,6,7,7,25
6,7,7,3,25
7,7,3,35,25
7,3,35,13,25
13,205,3,3,25
205,3,3,925,25
3,3,925,35,25
3,925,35,13,25
925,35,13,936,25
35,13,936,13,25
13,936,13,4,25
936,13,4,7,25
13,4,7,6,25
4,7,6,6,25
7,6,6,7,25
6,6,7,127,25
6,7,127,936,25
7,127,936,5,25
127,936,5,930,25
936,5,930,13,25
5,930,13,942,25
930,13,942,5,25
13,942,5,7,25
942,5,7,12,25
5,7,12,5,25
7,12,5,6,25
12,5,6,942,25
5,6,942,6,25
6,942,6,4,25
942,6,4,7,25
6,4,7,4,25
4,7,4,925,25
7,4,925,6,25
4,925,6,5,25
925,6,5,12,25
6,5,12,928,25
5,12,928,178,4
12,928,178,3,4
928,178,3,925,11
178,3,925,4,11
3,925,4,7,11
925,4,7,7,11
4,7,7,7,11
7,7,7,7,11
7,7,7,6,11
7,7,6,7,11
7,6,7,7,11
6,7,7,7,11
7,7,7,6,11
7,7,6,4,11
7,6,4,7,11
6,4,7,7,11
4,7,7,127,11
7,7,127,21,11
7,127,21,133,11
127,21,133,205,11
21,133,205,127,18
133,205,127,7,11
205,127,7,4,18
127,7,4,7,11
7,4,7,7,18
4,7,7,4,18
7,7,4,6,11
7,4,6,3,18
4,6,3,5,18
6,3,5,13,18
3,5,13,7,18
5,13,7,6,18
3,928,13,127,34
928,13,127,7,34
13,127,7,7,25
127,7,7,218,25
7,7,218,199,25
7,218,199,928,25
218,199,928,936,25
199,928,936,4,25
928,936,4,207,25
936,4,207,935,25
4,207,935,12,25
207,935,12,12,32
935,12,12,6,25
12,12,6,61,32
12,6,61,199,32
6,61,199,936,25
61,199,936,6,25
199,936,6,4,25
936,6,4,5,32
6,4,5,3,32
4,5,3,942,32
5,3,942,942,32
3,942,942,5,32
942,942,5,935,32
942,5,935,13,32
5,935,13,13,32
935,13,13,935,32
127,7,6,7,32
7,6,7,12,25
6,7,12,6,25
7,12,6,925,25
12,6,925,936,32
6,925,936,7,32
925,936,7,936,32
936,7,936,35,25
7,936,35,12,25
936,35,12,7,25
35,12,7,936,32
12,7,936,7,32
7,936,7,7,32
936,7,7,127,32
7,7,127,925,32
7,127,925,6,32
127,925,6,199,32
925,6,199,6,32
6,199,6,7,32
199,6,7,35,32
6,7,35,7,32
7,35,7,936,32
35,7,936,7,32
7,936,7,4,32
936,7,4,7,32
7,4,7,936,32
4,7,936,178,32
7,936,178,7,32
936,178,7,4,32
178,7,4,936,32
7,4,936,936,32
4,936,936,5,32
936,936,5,936,25
936,5,936,21,25
5,936,21,936,25
936,21,936,936,32
21,936,936,936,32
936,936,936,21,25
936,936,21,13,25
